location_name,iso_a3,highBP,highLDL,diabetes,smoking,highBMI,unhealthyDiet,lowPhysicalActivity,,,,,,,,,
Kenya,KEN,48.75803161,9.67917052,9.88390152,5.91180114,18.24555528,23.63483355,0.47154199,,,,,,,,,
Kiribati,KIR,134.16295360,73.13640947,91.34647757,103.58773930,98.33965396,115.53306280,6.63720502,,,,,,,,,
Kuwait,KWT,52.57301519,36.97050230,24.95407716,20.26897666,37.79177053,35.50098788,8.72919705,,,,,,,,,
Kyrgyzstan,KGZ,117.81966350,76.42507926,31.64617557,47.92130143,58.31055045,124.53132260,8.54476104,,,,,,,,,
Lao People's Democratic Republic,LAO,100.27104590,39.00127555,48.53771022,33.64584790,31.88465834,71.72133767,2.99969018,,,,,,,,,
Latvia,LVA,477.61606720,262.60703580,118.12598570,99.29180178,179.10090700,321.22546230,51.64315530,,,,,,,,,
Lebanon,LBN,173.43960410,118.23147500,99.29268704,80.63358835,85.82481814,108.67486520,30.78271643,,,,,,,,,
Lesotho,LSO,110.79885980,18.46808823,40.88976767,23.56869655,55.89538764,54.56091597,2.68036137,,,,,,,,,
Liberia,LBR,53.40743100,16.37513619,19.44725329,5.33722246,22.68233372,31.48956618,2.06911958,,,,,,,,,
Libya,LBY,114.80998290,61.94554348,57.32744242,25.57351630,63.75994727,69.32729994,15.91354335,,,,,,,,,
Lithuania,LTU,439.36114550,264.20941340,90.18793579,85.63688769,165.24778520,322.63516670,54.61229624,,,,,,,,,
Luxembourg,LUX,109.87172260,52.68318947,55.60680125,25.55238010,29.87383966,68.71221570,9.85470681,,,,,,,,,
Madagascar,MDG,80.90987214,16.80302493,12.88098591,8.26056120,24.53584303,45.76355585,0.73648313,,,,,,,,,
Malawi,MWI,54.48784949,13.38741116,15.07434067,7.59470901,14.71777870,25.01189811,0.73447115,,,,,,,,,
Malaysia,MYS,117.20700940,63.30668536,48.84389760,32.76260270,40.17239830,76.74795418,8.85518305,,,,,,,,,
Maldives,MDV,55.68934020,31.99533716,26.07493717,19.20920601,13.23764806,43.82348253,4.55336377,,,,,,,,,
Mali,MLI,44.65691477,12.88928105,14.88349946,4.85126500,14.39684307,27.60671203,1.21823149,,,,,,,,,
Malta,MLT,176.35322510,107.19209710,103.10594370,42.92315507,48.43657588,125.17759310,32.06471677,,,,,,,,,
Marshall Islands,MHL,130.74403720,80.10413426,92.83096242,51.12371827,79.16869186,114.64723020,8.11015148,,,,,,,,,
Mauritania,MRT,56.76012126,18.68947937,12.04797167,5.96657950,25.13171980,36.53870745,5.52496031,,,,,,,,,
Mauritius,MUS,148.42905310,70.81776228,66.77749395,31.99440678,57.99101468,95.54293168,10.37376399,,,,,,,,,
Mexico,MEX,69.70526072,41.73143250,40.78181287,12.06413082,33.43669971,46.19479120,4.67944782,,,,,,,,,
Micronesia (Federated States of),FSM,150.09406420,92.59762099,102.24589510,86.59703595,114.44342800,134.72567270,10.93127087,,,,,,,,,
Monaco,MCO,220.44076610,120.27118660,75.14149768,46.08584558,70.82306637,121.12802290,28.03405833,,,,,,,,,
Mongolia,MNG,180.69161020,75.39289590,23.12569158,63.98532869,81.28057626,158.19773640,4.95621102,,,,,,,,,
Montenegro,MNE,356.08662450,121.23213780,181.07251620,150.51558590,151.75851230,234.39695750,12.30573889,,,,,,,,,
Morocco,MAR,204.49991480,102.26756750,99.06201858,33.20360023,87.57307609,103.41774290,26.16926049,,,,,,,,,
